Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
Tuesday 19 September 2017,Liga,FC Barcelona,Eibar,Eibar,59,4,1,Field goal,Left foot,Won
Sunday 21 May 2017,Liga,FC Barcelona,Eibar,Eibar,76,3,2,Penalty,Left foot,Won
Saturday 6 May 2017,Liga,FC Barcelona,Villarreal,Villarreal,82,4,1,Penalty,Left foot,Won
Saturday 6 May 2017,Liga,FC Barcelona,Villarreal,Villarreal,45,2,1,Field goal,Left foot,Won
Wednesday 26 April 2017,Liga,FC Barcelona,Osasuna,Osasuna,61,4,1,Field goal,Left foot,Won
Sunday 19 March 2017,Liga,FC Barcelona,Valencia,Valencia,45,2,1,Penalty,Left foot,Won
Sunday 19 February 2017,Liga,FC Barcelona,Leganés,Leganés,89,2,1,Penalty,Left foot,Won
Sunday 18 December 2016,Liga,FC Barcelona,Espanyol,Espanyol,90,4,1,Field goal,Left foot,Won
Saturday 20 August 2016,Liga,FC Barcelona,Real Betis,Real Betis,57,5,1,Field goal,Left foot,Won
Saturday 20 August 2016,Liga,FC Barcelona,Real Betis,Real Betis,37,2,1,Field goal,Left foot,Won
Sunday 28 February 2016,Liga,FC Barcelona,Sevilla,Sevilla,31,1,1,Free kick,Left foot,Won
Saturday 30 January 2016,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,30,1,1,Field goal,Left foot,Won
Sunday 20 September 2015,Liga,FC Barcelona,Levante,Levante,90,4,1,Solo run,Left foot,Won
Sunday 11 January 2015,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,87,3,1,,Left foot,Won
Sunday 7 December 2014,Liga,FC Barcelona,Espanyol,Espanyol,45,1,1,,Left foot,Won
Saturday 22 November 2014,Liga,FC Barcelona,Sevilla,Sevilla,78,5,1,,Left foot,Won
Sunday 20 April 2014,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,74,2,1,Free kick,Left foot,Won
Saturday 1 February 2014,Liga,FC Barcelona,Valencia,Valencia,54,2,2,Penalty,Left foot,Lost
Sunday 5 May 2013,Liga,FC Barcelona,Real Betis,Real Betis,71,4,2,,Left foot,Won
Sunday 5 May 2013,Liga,FC Barcelona,Real Betis,Real Betis,60,3,2,Free kick,Left foot,Won
Saturday 23 February 2013,Liga,FC Barcelona,Sevilla,Sevilla,60,2,1,,Left foot,Won
Sunday 27 January 2013,Liga,FC Barcelona,Osasuna,Osasuna,58,5,1,,Left foot,Won
Sunday 27 January 2013,Liga,FC Barcelona,Osasuna,Osasuna,56,4,1,,Left foot,Won
Sunday 27 January 2013,Liga,FC Barcelona,Osasuna,Osasuna,28,2,1,Penalty,Left foot,Won
Sunday 16 December 2012,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,88,4,1,,Left foot,Won
Sunday 16 December 2012,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,57,3,1,,Left foot,Won
Saturday 17 November 2012,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,60,3,1,,Left foot,Won
Sunday 7 October 2012,Liga,FC Barcelona,Real Madrid,Real Madrid,61,2,1,Free kick,Left foot,Draw
Sunday 7 October 2012,Liga,FC Barcelona,Real Madrid,Real Madrid,31,1,1,,Left foot,Draw
Sunday 19 August 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,16,3,1,,Left foot,Won
Sunday 19 August 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,11,2,1,,Left foot,Won
Wednesday 2 May 2012,Liga,FC Barcelona,Málaga,Málaga,64,4,1,,Left foot,Won
